"","years","jugador","name","pos","bat","lan","exp","pais","estado","ciudad"
"697","1983-84","W. Flores","Wilfredo Flores","P","Z","Z","4","Venezuela","Aragua","Villa de Cura"
"698","1983-84","J. Franco","Julio Franco","P","D","D","1","Venezuela","D.F.","Caracas"
"699","1983-84","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","3","Venezuela","Miranda","Ocumare del Tuy"
"700","1983-84","A. Hernández","Ángel Hernández","CF","D","D","10","Venezuela","Aragua","Maracay"
"701","1983-84","C. Hernández","Carlos Hernández","P","D","D","1","Venezuela","Vargas","La Guaira"
"702","1983-84","P. Huffman","Phillip Lee Huffman","P","D","D","2","USA","Texas","Freeport"
"703","1983-84","C. Hurdle","Clinton Merrick Hurdle","CF","Z","D","3","USA","Michigan","Big Rapids"
"704","1983-84","B. Lee","William Francis Lee III","P","Z","Z","2","USA","California","Burbank"
"705","1983-84","J. Lewis","James Martín Lewis","P","D","D","1","USA","Florida","Miami"
"706","1983-84","L. Lunar","Luis Lunar","P","D","D","8","Venezuela","Anzoategui","Anaco"
"707","1983-84","E. Marquez","Edwin Marquez","C","D","D","1","Venezuela","Anzoategui","Puerto la Cruz"
"708","1983-84","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","1","Venezuela","Vargas","La Guaira"
"709","1983-84","J. Monasterios","Juan Monasterios","CF","D","D","10","Venezuela","Sucre","Mariguitar"
"710","1983-84","D. Moore","Donnie Ray Moore","P","Z","D","1","USA","Texas","Lubbock"
"711","1983-84","H. Pacheco","Hilario Pacheco","CF","D","D","2","Venezuela","Miranda","Tacarigua de Mamporal"
"712","1983-84","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","6","Venezuela","D.F.","Caracas"
"713","1983-84","G. Pettis","Gary George Pettis","CF","A","D","2","USA","California","Oakland"
"714","1983-84","H. Pickett","Henry Pickett","P","Z","Z","1","USA","Misisipi","Crystal Spring"
"715","1983-84","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","3","Venezuela","D.F.","Caracas"
"716","1983-84","H. Rivas","Hector Rivas","CF","D","D","4","Venezuela","Sucre","Cumana"
"717","1983-84","P. Rivas","Pedro Rivas","C","D","D","1","Venezuela","Miranda","Ocumare Del Tuy"
"718","1983-84","G. Roiter","Gary Roiter","P","","","1","USA","",""
"719","1983-84","A. Salazar","Argenis Salazar","SS","D","D","4","Venezuela","Anzoategui","Anaco"
"720","1983-84","L. Salazar","Luis Ernesto Salazar García","IF","D","D","9","Venezuela","Anzoategui","Barcelona"
"721","1983-84","M. Witt","Michael Atwater Witt","P","D","D","2","USA","California","Fullerton"
"722","1984-85","B. Benton","Alfred Lee Benton","C","D","D","1","USA","Florida","Tampa"
"723","1984-85","R. Blanco","Romualdo Blanco","P","D","D","9","Venezuela","Vargas","La Sabana"
"724","1984-85","T. Brizzolara","Anthony John Brizzolara","P","D","D","3","USA","California","Santa Monica"
"725","1984-85","N. Carrasco","Norman Rafael Carrasco","2B","D","D","4","Venezuela","D.F.","Caracas"
"726","1984-85","J. Celis","Johnny Celis","CF","Z","Z","1","Venezuela","",""
"727","1984-85","B. Clark","Bryan Donald Clark","P","Z","Z","5","USA","California","Madera"
"728","1984-85","A. Cordova","Antonio Cordova","IF","D","D","5","Venezuela","Nueva Esparta","Porlamar"
"729","1984-85","P. Dodson","Patrick Neal Dodson","1B","Z","Z","1","USA","California","Santa Monica"
"730","1984-85","A. Espinoza","Andrés Espinoza","1B","Z","Z","2","Venezuela","D.F.","Caracas"
"731","1984-85","W. Flores","Wilfredo Flores","P","Z","Z","5","Venezuela","Aragua","Villa de Cura"
"732","1984-85","J. Franco","Julio Franco","P","D","D","2","Venezuela","D.F.","Caracas"
"733","1984-85","R. Fuson","Robert Fuson","P","D","D","1","USA","Florida","Tampa"
"734","1984-85","R. García","Raúl García","C","D","D","1","Venezuela","",""
"735","1984-85","W. Gardner","Wesley Brian Gardner","P","D","D","1","USA","Arkansas","Benton"
"736","1984-85","E. Glynn","Edward Paul Glynn","P","D","Z","5","USA","Nueva York","Flushing"
"737","1984-85","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","4","Venezuela","Miranda","Ocumare del Tuy"
"738","1984-85","G. Heimuller","Gorman Heimuller","P","Z","Z","2","USA","California","Los Angeles"
"739","1984-85","A. Hernández","Ángel Hernández","CF","D","D","11","Venezuela","Aragua","Maracay"
"740","1984-85","C. Hernández","Carlos Hernández","P","D","D","2","Venezuela","Vargas","La Guaira"
"741","1984-85","P. Huffman","Phillip Lee Huffman","P","D","D","3","USA","Texas","Freeport"
"742","1984-85","L. Lunar","Luis Lunar","P","D","D","9","Venezuela","Anzoategui","Anaco"
"743","1984-85","R. Marcano","Robert Marcano","IF","D","D","13","Venezuela","Miranda","el Clavo"
"744","1984-85","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","2","Venezuela","Vargas","La Guaira"
"745","1984-85","E. Miller","Edward Lee Miller","CF","A","D","4","USA","California","San Pablo"
"746","1984-85","J. Monasterios","Juan Monasterios","CF","D","D","11","Venezuela","Sucre","Mariguitar"
"747","1984-85","A. Moreno","Ángel Moreno","CE","","","1","Desconocido","",""
"748","1984-85","H. Pacheco","Hilario Pacheco","CF","D","D","3","Venezuela","Miranda","Tacarigua de Mamporal"
"749","1984-85","R. Patterson","Reginald Allen Patterson","P","D","D","3","USA","Alabama","Birmingham"
"750","1984-85","A. Pedrique","Alfredo José Pedrique García","IF","D","D","6","Venezuela","Carabobo","Valencia"
"751","1984-85","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","7","Venezuela","D.F.","Caracas"
"752","1984-85","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","4","Venezuela","D.F.","Caracas"
"753","1984-85","P. Rivas","Pedro Rivas","C","D","D","2","Venezuela","Miranda","Ocumare Del Tuy"
"754","1984-85","A. Salazar","Argenis Salazar","SS","D","D","5","Venezuela","Anzoategui","Anaco"
"755","1984-85","L. Salazar","Luis Enrique Salazar","IF","D","D","1","Venezuela","Monagas","San Antonio"
"756","1984-85","L. Salazar","Luis Ernesto Salazar García","IF","D","D","10","Venezuela","Anzoategui","Barcelona"
"757","1984-85","L. Sánchez","Luis Mercedes Escobar Sánchez","P","D","D","11","Venezuela","Sucre","Cariaco"
"758","1984-85","R. Siwy","Richard Siwy","P","D","D","1","USA","Rhode Island","Central Falls"
"759","1984-85","J. Thereze","José Thereze","P","","","1","Venezuela","",""
"760","1984-85","H. Viana","Hector Alfonso Viana","IF","D","D","1","Desconocido","",""
"761","1985-86","B. Benton","Alfred Lee Benton","C","D","D","2","USA","Florida","Tampa"
"762","1985-86","M. Bolanos","Marcos Bolanos","P","Z","Z","1","Venezuela","Sucre","Guiria"
"763","1985-86","D. Boston","Daryl Lamont Boston","CF","Z","Z","1","USA","Ohio","Cincinnati"
"764","1985-86","N. Carrasco","Norman Rafael Carrasco","2B","D","D","5","Venezuela","D.F.","Caracas"
"765","1985-86","J. Celis","Johnny Celis","CF","Z","Z","2","Venezuela","",""
"766","1985-86","B. Clark","Bryan Donald Clark","P","Z","Z","6","USA","California","Madera"
"767","1985-86","A. Cordova","Antonio Cordova","IF","D","D","6","Venezuela","Nueva Esparta","Porlamar"
"768","1985-86","A. Espinoza","Andrés Espinoza","1B","Z","Z","3","Venezuela","D.F.","Caracas"
"769","1985-86","W. Flores","Wilfredo Flores","P","Z","Z","6","Venezuela","Aragua","Villa de Cura"
"770","1985-86","J. Franco","Julio Franco","P","D","D","3","Venezuela","D.F.","Caracas"
"771","1985-86","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","5","Venezuela","Miranda","Ocumare del Tuy"
"772","1985-86","A. Hernández","Ángel Hernández","CF","D","D","12","Venezuela","Aragua","Maracay"
"773","1985-86","C. Hernández","Carlos Hernández","P","D","D","3","Venezuela","Vargas","La Guaira"
"774","1985-86","P. Huffman","Phillip Lee Huffman","P","D","D","4","USA","Texas","Freeport"
"775","1985-86","O. Jones","Odell Jones","P","D","D","5","USA","California","Tulare"
"776","1985-86","R. Laya","Ricardo Laya","CF","Z","Z","2","Venezuela","D.F.","Caracas"
"777","1985-86","L. Lunar","Luis Lunar","P","D","D","10","Venezuela","Anzoategui","Anaco"
"778","1985-86","B. Lyons","Barry Stephen Lyons","C","D","D","1","USA","Misisipi","Biloxi"
"779","1985-86","E. Marquez","Edwin Marquez","C","D","D","3","Venezuela","Anzoategui","Puerto la Cruz"
"780","1985-86","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","3","Venezuela","Vargas","La Guaira"
"781","1985-86","T. McCarthy","Thomas Michael McCarthy","P","D","D","1","Alemania","","Lundstahl"
"782","1985-86","D. Miller","Darrell Keith Miller","IF","D","D","2","USA","Distrito de Columbia","Washington"
"783","1985-86","J. Monasterios","Juan Monasterios","CF","D","D","12","Venezuela","Sucre","Mariguitar"
"784","1985-86","O. Moreno","Omar Renan Moreno Quintero","CF","Z","Z","3","Panama","","Puerto Armuelles"
"785","1985-86","A. Pedrique","Alfredo José Pedrique García","IF","D","D","7","Venezuela","Carabobo","Valencia"
"786","1985-86","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","8","Venezuela","D.F.","Caracas"
"787","1985-86","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","5","Venezuela","D.F.","Caracas"
"788","1985-86","O. Prieto","Omar Prieto","CF","D","D","6","Venezuela","",""
"789","1985-86","A. Salazar","Argenis Salazar","SS","D","D","6","Venezuela","Anzoategui","Anaco"
"790","1985-86","L. Salazar","Luis Enrique Salazar","IF","D","D","2","Venezuela","Monagas","San Antonio"
"791","1985-86","L. Sánchez","Luis Mercedes Escobar Sánchez","P","D","D","12","Venezuela","Sucre","Cariaco"
"792","1985-86","J. Thereze","José Thereze","P","","","2","Venezuela","",""
"793","1985-86","M. Trujillo","Michael Andrew Trujillo","P","D","D","1","USA","Colorado","Denver"
"794","1985-86","H. Viana","Hector Alfonso Viana","IF","D","D","2","Desconocido","",""
"795","1985-86","D. Wyatt","David Wyatt","P","D","D","1","USA","",""
"796","1986-87","J. Alfaro","José Luis Alfaro","P","D","D","13","Venezuela","Zulia","Maracaibo"
"797","1986-87","N. Carrasco","Norman Rafael Carrasco","2B","D","D","6","Venezuela","D.F.","Caracas"
"798","1986-87","L. Dorante","Luis Dorante","C","D","D","1","Venezuela","Falcon","Coro"
"799","1986-87","V. Echarry","Ventura Echarry","P","D","D","4","Venezuela","Vargas","Todasana"
"800","1986-87","A. Espinoza","Andrés Espinoza","1B","Z","Z","4","Venezuela","D.F.","Caracas"
"801","1986-87","B. Fields","Bruce Alan Fields","CF","Z","D","1","USA","Ohio","Cleveland"
"802","1986-87","W. Flores","Wilfredo Flores","P","Z","Z","7","Venezuela","Aragua","Villa de Cura"
"803","1986-87","J. Franco","Julio Franco","P","D","D","4","Venezuela","D.F.","Caracas"
"804","1986-87","P. Gibson","Paul Marshall Gibson","P","D","Z","1","USA","Nueva York","Southampton"
"805","1986-87","C. Gil","Carlos Gil","P","D","D","9","Venezuela","Bolivar","Ciudad Bolivar"
"806","1986-87","C. Green","Christopher De Wayne Green","BE","Z","Z","3","USA","California","Los Angeles"
"807","1986-87","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","6","Venezuela","Miranda","Ocumare del Tuy"
"808","1986-87","M. Henneman","Michael Alan Henneman","P","D","D","1","USA","Misuri","St. Charles"
"809","1986-87","A. Hernández","Ángel Hernández","CF","D","D","13","Venezuela","Aragua","Maracay"
"810","1986-87","C. Hernández","Carlos Hernández","P","D","D","4","Venezuela","Vargas","La Guaira"
"811","1986-87","O. Jones","Odell Jones","P","D","D","6","USA","California","Tulare"
"812","1986-87","R. Laya","Ricardo Laya","CF","Z","Z","3","Venezuela","D.F.","Caracas"
"813","1986-87","L. Lunar","Luis Lunar","P","D","D","11","Venezuela","Anzoategui","Anaco"
"814","1986-87","S. Macayo","Santos Macayo","CF","D","D","1","Venezuela","D.F.","Caracas"
"815","1986-87","E. Marquez","Edwin Marquez","C","D","D","4","Venezuela","Anzoategui","Puerto la Cruz"
"816","1986-87","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","4","Venezuela","Vargas","La Guaira"
"817","1986-87","C. McMurtry","Joe Craig McMurtry","P","D","D","1","USA","Texas","Troy"
"818","1986-87","J. Monasterios","Juan Monasterios","CF","D","D","13","Venezuela","Sucre","Mariguitar"
"819","1986-87","A. Pedrique","Alfredo José Pedrique García","IF","D","D","8","Venezuela","Carabobo","Valencia"
"820","1986-87","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","9","Venezuela","D.F.","Caracas"
"821","1986-87","F. Pinto","Francisco Pinto","P","","","1","Desconocido","",""
"822","1986-87","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","6","Venezuela","D.F.","Caracas"
"823","1986-87","J. Ramos","José Luis Ramos","P","Z","Z","1","Venezuela","Sucre","Cumana"
"824","1986-87","J. Reed","Jeffrey Scott Reed","C","Z","D","1","USA","Illinois","Joliet"
"825","1986-87","A. Salazar","Argenis Salazar","SS","D","D","7","Venezuela","Anzoategui","Anaco"
"826","1986-87","L. Salazar","Luis Ernesto Salazar García","IF","D","D","11","Venezuela","Anzoategui","Barcelona"
"827","1986-87","N. Snell","Nathaniel Snell","P","D","D","1","USA","Carolina del Sur","Orangeburg"
"828","1986-87","H. Viana","Hector Alfonso Viana","IF","D","D","3","Desconocido","",""
"829","1986-87","A. Williams","Albert Hamilton Williams","P","D","D","6","Nicaragua","","Laguna De Perlas"
"830","1987-88","K. Best","Karl Jon Best","P","D","D","1","USA","Washington","Aberdeen"
"831","1987-88","M. Bolanos","Marcos Bolanos","P","Z","Z","2","Venezuela","Sucre","Guiria"
"832","1987-88","T. Brito","Tulio Brito","CF","D","D","2","Venezuela","Falcon","Judibana"
"833","1987-88","J. Carpio","Jorge Carpio","P","D","D","8","Venezuela","Bolivar","Puerto Ordaz"
"834","1987-88","N. Carrasco","Norman Rafael Carrasco","2B","D","D","7","Venezuela","D.F.","Caracas"
"835","1987-88","J. Cartaya","Joel Cartaya","IF","A","D","1","Venezuela","Vargas","La Sabana"
"836","1987-88","P. Cherry","Paul Cherry","P","Z","Z","2","USA","Florida","Hollywood"
"837","1987-88","L. Dorante","Luis Dorante","C","D","D","2","Venezuela","Falcon","Coro"
"838","1987-88","V. Echarry","Ventura Echarry","P","D","D","5","Venezuela","Vargas","Todasana"
"839","1987-88","A. Espinoza","Andrés Espinoza","1B","Z","Z","5","Venezuela","D.F.","Caracas"
"840","1987-88","W. Flores","Wilfredo Flores","P","Z","Z","8","Venezuela","Aragua","Villa de Cura"
"841","1987-88","L. Galindo","Luis Galindo","IF","D","D","1","Venezuela","Anzoategui","Barcelona"
"842","1987-88","J. Guarache","José Guarache","1B","D","D","1","Venezuela","Anzoategui","Puerto Piritu"
"843","1987-88","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","7","Venezuela","Miranda","Ocumare del Tuy"
"844","1987-88","A. Hernández","Ángel Hernández","CF","D","D","14","Venezuela","Aragua","Maracay"
"845","1987-88","C. Hernández","Carlos Hernández","P","D","D","5","Venezuela","Vargas","La Guaira"
"846","1987-88","O. Jones","Odell Jones","P","D","D","7","USA","California","Tulare"
"847","1987-88","J. Laya","Jesús Laya","C","D","D","1","Venezuela","Vargas","Maiquetia"
"848","1987-88","R. Laya","Ricardo Laya","CF","Z","Z","4","Venezuela","D.F.","Caracas"
"849","1987-88","L. Lunar","Luis Lunar","P","D","D","12","Venezuela","Anzoategui","Anaco"
"850","1987-88","S. Macayo","Santos Macayo","CF","D","D","2","Venezuela","D.F.","Caracas"
"851","1987-88","E. Marquez","Edwin Marquez","C","D","D","5","Venezuela","Anzoategui","Puerto la Cruz"
"852","1987-88","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","5","Venezuela","Vargas","La Guaira"
"853","1987-88","C. Mcgrath","Charles Mcgrath","P","","","1","USA","",""
"854","1987-88","J. Monasterios","Juan Monasterios","CF","D","D","14","Venezuela","Sucre","Mariguitar"
"855","1987-88","J. Monzon","José Monzon","C","D","D","1","Venezuela","Vargas","La Guaira"
"856","1987-88","A. Pedrique","Alfredo José Pedrique García","IF","D","D","9","Venezuela","Carabobo","Valencia"
"857","1987-88","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","10","Venezuela","D.F.","Caracas"
"858","1987-88","F. Pinto","Francisco Pinto","P","","","2","Desconocido","",""
"859","1987-88","G. Pinto","Gustavo Pinto","P","D","D","1","Venezuela","Miranda","Higuerote"
"860","1987-88","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","7","Venezuela","D.F.","Caracas"
"861","1987-88","J. Ramos","José Luis Ramos","P","Z","Z","2","Venezuela","Sucre","Cumana"
"862","1987-88","J. Reed","Jeffrey Scott Reed","C","Z","D","2","USA","Illinois","Joliet"
"863","1987-88","L. Salazar","Luis Enrique Salazar","IF","D","D","3","Venezuela","Monagas","San Antonio"
"864","1987-88","L. Salazar","Luis Ernesto Salazar García","IF","D","D","12","Venezuela","Anzoategui","Barcelona"
"865","1987-88","I. Sánchez","Israel Sánchez Matos","P","Z","Z","1","Cuba","","Falcon Lasvias"
"866","1987-88","N. Santovenia","Nelson Gil Santovenia Mayol","C","D","D","1","Cuba","","Pinar Del Rio"
"867","1987-88","F. Toliver","Freddie Lee Toliver","P","D","D","3","USA","Misisipi","Natchez"
"868","1988-89","J. Barfield","John David Barfield","P","Z","Z","1","USA","Arkansas","Pine Bluff"
"869","1988-89","F. Campos","Frank Campos","P","D","D","3","Venezuela","D.F.","Caracas"
"870","1988-89","J. Cardona","José Cardona","P","D","D","1","Venezuela","Vargas","La Sabana"
"871","1988-89","J. Carpio","Jorge Carpio","P","D","D","9","Venezuela","Bolivar","Puerto Ordaz"
"872","1988-89","N. Carrasco","Norman Rafael Carrasco","2B","D","D","8","Venezuela","D.F.","Caracas"
"873","1988-89","J. Cartaya","Joel Cartaya","IF","A","D","2","Venezuela","Vargas","La Sabana"
"874","1988-89","S. Clarke","Stanley Martín Clarke","P","Z","Z","3","USA","Ohio","Toledo"
"875","1988-89","L. Dorante","Luis Dorante","C","D","D","3","Venezuela","Falcon","Coro"
"876","1988-89","A. Espinoza","Andrés Espinoza","1B","Z","Z","6","Venezuela","D.F.","Caracas"
"877","1988-89","W. Flores","Wilfredo Flores","P","Z","Z","9","Venezuela","Aragua","Villa de Cura"
"878","1988-89","L. Galindo","Luis Galindo","IF","D","D","2","Venezuela","Anzoategui","Barcelona"
"879","1988-89","R. Garces","Robinson Garces","P","Z","Z","5","Venezuela","Zulia","Maracaibo"
"880","1988-89","D. Gordon","Dan Gordon","P","","","1","USA","",""
"881","1988-89","J. Graterol","José Graterol","CF","D","D","1","Venezuela","Zulia","Santa Rita"
"882","1988-89","J. Guarache","José Guarache","1B","D","D","2","Venezuela","Anzoategui","Puerto Piritu"
"883","1988-89","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","8","Venezuela","Miranda","Ocumare del Tuy"
"884","1988-89","A. Hernández","Ángel Hernández","CF","D","D","15","Venezuela","Aragua","Maracay"
"885","1988-89","C. Kreuter","Chadden Michael Kreuter","C","A","D","2","USA","California","Greenbrae"
"886","1988-89","R. Laya","Ricardo Laya","CF","Z","Z","5","Venezuela","D.F.","Caracas"
"887","1988-89","J. Leister","John William Leister","P","D","D","1","USA","Texas","San Antonio"
"888","1988-89","L. Lunar","Luis Lunar","P","D","D","13","Venezuela","Anzoategui","Anaco"
"889","1988-89","S. Macayo","Santos Macayo","CF","D","D","3","Venezuela","D.F.","Caracas"
"890","1988-89","E. Marquez","Edwin Marquez","C","D","D","6","Venezuela","Anzoategui","Puerto la Cruz"
"891","1988-89","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","6","Venezuela","Vargas","La Guaira"
"892","1988-89","S. May","Scott Francis May","P","D","D","1","USA","Wisconsin","West Bend"
"893","1988-89","J. Monasterios","Juan Monasterios","CF","D","D","15","Venezuela","Sucre","Mariguitar"
"894","1988-89","J. Monzon","José Monzon","C","D","D","2","Venezuela","Vargas","La Guaira"
"895","1988-89","A. Pedrique","Alfredo José Pedrique García","IF","D","D","10","Venezuela","Carabobo","Valencia"
"896","1988-89","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","11","Venezuela","D.F.","Caracas"
"897","1988-89","G. Pinto","Gustavo Pinto","P","D","D","2","Venezuela","Miranda","Higuerote"
"898","1988-89","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","8","Venezuela","D.F.","Caracas"
"899","1988-89","J. Quero","Juan Quero","P","Z","Z","1","Venezuela","Falcon","Punto Fijo"
"900","1988-89","J. Ramos","José Luis Ramos","P","Z","Z","3","Venezuela","Sucre","Cumana"
"901","1988-89","K. Rogers","Kenneth Scott Rogers","P","Z","Z","1","USA","Georgia","Savannah"
"902","1988-89","L. Salazar","Luis Ernesto Salazar García","IF","D","D","13","Venezuela","Anzoategui","Barcelona"
"903","1988-89","L. Salazar","Luis Enrique Salazar","IF","D","D","4","Venezuela","Monagas","San Antonio"
"904","1988-89","I. Sánchez","Israel Sánchez Matos","P","Z","Z","2","Cuba","","Falcon Lasvias"
"905","1988-89","L. Sánchez","Luis Mercedes Escobar Sánchez","P","D","D","13","Venezuela","Sucre","Cariaco"
"906","1988-89","G. Thurman","Gary Montez Thurman","CF","D","D","1","USA","Indiana","Indianapolis"
"907","1989-90","A. Álvarez","Alejandro Álvarez","P","","","1","Venezuela","D.F.","Caracas"
"908","1989-90","J. Baller","Jay Scot Baller","P","D","D","4","USA","Oregon","Stayton"
"909","1989-90","C. Beasley","Christopher Charles Beasley","P","D","D","1","USA","Tennessee","Jackson"
"910","1989-90","F. Campos","Frank Campos","P","D","D","4","Venezuela","D.F.","Caracas"
"911","1989-90","J. Cardona","José Cardona","P","D","D","2","Venezuela","Vargas","La Sabana"
"912","1989-90","N. Carrasco","Norman Rafael Carrasco","2B","D","D","9","Venezuela","D.F.","Caracas"
"913","1989-90","M. Carrera","Mahali Carrera","IF","A","D","1","Venezuela","Lara","Barquisimeto"
"914","1989-90","J. Cartaya","Joel Cartaya","IF","A","D","3","Venezuela","Vargas","La Sabana"
"915","1989-90","B. Clark","Bryan Donald Clark","P","Z","Z","7","USA","California","Madera"
"916","1989-90","D. Delcine","Domingo Delcine","P","D","D","1","Venezuela","Sucre","Guiria"
"917","1989-90","B. Distefano","Benito James Distefano","CF","Z","Z","4","USA","Nueva York","Brooklyn"
"918","1989-90","L. Dorante","Luis Dorante","C","D","D","4","Venezuela","Falcon","Coro"
"919","1989-90","G. Eave","Gary Louis Eave","P","D","D","1","USA","Luisiana","Monroe"
"920","1989-90","L. Figueredo","Luis Figueredo","C","D","D","1","Venezuela","D.F.","Caracas"
"921","1989-90","W. Flores","Wilfredo Flores","P","Z","Z","10","Venezuela","Aragua","Villa de Cura"
"922","1989-90","L. Galindo","Luis Galindo","IF","D","D","3","Venezuela","Anzoategui","Barcelona"
"923","1989-90","R. Garces","Robinson Garces","P","Z","Z","6","Venezuela","Zulia","Maracaibo"
"924","1989-90","J. Graterol","José Graterol","CF","D","D","2","Venezuela","Zulia","Santa Rita"
"925","1989-90","J. Guarache","José Guarache","1B","D","D","3","Venezuela","Anzoategui","Puerto Piritu"
"926","1989-90","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","9","Venezuela","Miranda","Ocumare del Tuy"
"927","1989-90","B. Hamelin","Robert James Hamelin","1B","Z","Z","1","USA","Nueva Jersey","Elizabeth"
"928","1989-90","A. Hernández","Ángel Hernández","CF","D","D","16","Venezuela","Aragua","Maracay"
"929","1989-90","R. Laya","Ricardo Laya","CF","Z","Z","6","Venezuela","D.F.","Caracas"
"930","1989-90","F. Lira","Antonio Felipe Lira","P","D","D","1","Venezuela","Miranda","Santa Teresa del Tuy"
"931","1989-90","S. Little","Dennis Scott Little","CF","D","D","1","USA","Illinois","East St. Louis"
"932","1989-90","L. Lunar","Luis Lunar","P","D","D","14","Venezuela","Anzoategui","Anaco"
"933","1989-90","D. Lynch","David Lynch","P","D","Z","1","USA","Luisiana","Baton Rouge"
"934","1989-90","E. Marquez","Edwin Marquez","C","D","D","7","Venezuela","Anzoategui","Puerto la Cruz"
"935","1989-90","C. Martínez","Carlos Alberto Escobar Martínez","IF","D","D","7","Venezuela","Vargas","La Guaira"
"936","1989-90","R. Martínez","Romulo Martínez","IF","D","D","1","Venezuela","Vargas","La Guaira"
"937","1989-90","J. Mitchell","Jorge Mitchell","CF","D","D","4","Venezuela","Bolivar","La Paragua"
"938","1989-90","J. Monzon","José Monzon","C","D","D","3","Venezuela","Vargas","La Guaira"
"939","1989-90","F. Muñoz","Francisco Muñoz","P","D","D","3","Venezuela","Aragua","Maracay"
"940","1989-90","H. Ortega","Hector Ortega","CF","D","D","1","Venezuela","Carabobo","Puerto Cabello"
"941","1989-90","J. Padilla","Juan Padilla","CF","","","4","Venezuela","Anzoategui","Cantaura"
"942","1989-90","R. Pérez Tovar","Raúl Pérez Tovar","CF","D","D","12","Venezuela","D.F.","Caracas"
"943","1989-90","M. Petkovsek","Mark Joseph Petkovsek","P","D","D","1","USA","Texas","Beaumont"
"944","1989-90","F. Pinto","Francisco Pinto","P","","","3","Desconocido","",""
"945","1989-90","G. Pinto","Gustavo Pinto","P","D","D","3","Venezuela","Miranda","Higuerote"
"946","1989-90","G. Polidor","Gustavo Adolfo Polidor González","IF","D","D","9","Venezuela","D.F.","Caracas"
"947","1989-90","J. Quero","Juan Quero","P","Z","Z","2","Venezuela","Falcon","Punto Fijo"
"948","1989-90","J. Ramos","José Luis Ramos","P","Z","Z","4","Venezuela","Sucre","Cumana"
"949","1989-90","L. Salazar","Luis Enrique Salazar","IF","D","D","5","Venezuela","Monagas","San Antonio"
"950","1989-90","L. Salazar","Luis Ernesto Salazar García","IF","D","D","14","Venezuela","Anzoategui","Barcelona"
"951","1989-90","L. Sánchez","Luis Mercedes Escobar Sánchez","P","D","D","14","Venezuela","Sucre","Cariaco"
"952","1989-90","O. Sarmiento","Óscar Sarmiento","P","D","D","1","Venezuela","Falcon","Punto Fijo"
"953","1989-90","R. Sauveur","Richard Daniel Sauveur","P","Z","Z","3","USA","Virginia","Arlington"
"954","1989-90","G. Thurman","Gary Montez Thurman","CF","D","D","2","USA","Indiana","Indianapolis"
"955","1989-90","F. Torres","Freddy Torres","IF","D","D","1","Venezuela","Aragua","Maracay"
"956","1989-90","P. Tovar","Paul Tovar","P","Z","Z","1","Desconocido","",""
"957","1989-90","C. Young","Clifford Raphael Young","P","Z","Z","2","USA","Texas","Willis"
"958","1990-91","I. Alleney","Isaac Alleney","P","","","2","USA","",""
"959","1990-91","A. Álvarez","Alejandro Álvarez","P","","","2","Venezuela","D.F.","Caracas"
"960","1990-91","B. Bierley","Bradley Bierley","CF","Z","D","1","USA","California",""
"961","1990-91","F. Campos","Frank Campos","P","D","D","5","Venezuela","D.F.","Caracas"
"962","1990-91","J. Cardona","José Cardona","P","D","D","3","Venezuela","Vargas","La Sabana"
"963","1990-91","N. Carrasco","Norman Rafael Carrasco","2B","D","D","10","Venezuela","D.F.","Caracas"
"964","1990-91","M. Carrera","Mahali Carrera","IF","A","D","2","Venezuela","Lara","Barquisimeto"
"965","1990-91","J. Cartaya","Joel Cartaya","IF","A","D","4","Venezuela","Vargas","La Sabana"
"966","1990-91","M. Castellanos","Miguel Castellanos","IF","D","D","1","Venezuela","Zulia","Cabimas"
"967","1990-91","M. Davis","Mark Anthony Davis","CF","D","D","1","USA","California","San Diego"
"968","1990-91","D. Delcine","Domingo Delcine","P","D","D","2","Venezuela","Sucre","Guiria"
"969","1990-91","D. Dixon","Dee Dixon","CF","","","1","USA","Virginia",""
